Event ID,Match ID,Alliance Color,Team 1,Team 2,Team 3,Overall Score,Overall Difference,Auto Score,Auto Difference,Hangar Score,Hangar Difference,Penalty Score,Penalty Difference,Result
2022bcvi,2022bcvi_f1m1,blue,frc6351,frc6485,frc8082,41,-4,16,2,12,-9,4,4,Loss
2022bcvi,2022bcvi_f1m1,red,frc4421,frc6364,frc7167,45,4,14,-2,21,9,0,-4,Win
2022bcvi,2022bcvi_f1m2,blue,frc6351,frc6485,frc8082,35,-19,10,-10,12,-3,4,0,Loss
2022bcvi,2022bcvi_f1m2,red,frc4421,frc6364,frc7167,54,19,20,10,15,3,4,0,Win
2022caph,2022caph_qm1,blue,frc8768,frc2659,frc8006,6,-76,0,-24,0,-20,4,4,Loss
2022caph,2022caph_qm1,red,frc5025,frc4414,frc359,82,76,24,24,20,20,0,-4,Win
2022caph,2022caph_qm10,blue,frc1452,frc2102,frc4,37,15,18,10,6,-6,0,0,Win
2022caph,2022caph_qm10,red,frc972,frc687,frc4501,22,-15,8,-10,12,6,0,0,Loss
2022caph,2022caph_qm11,blue,frc359,frc968,frc5199,83,29,18,0,16,6,12,8,Win
2022caph,2022caph_qm11,red,frc3859,frc3501,frc973,54,-29,18,0,10,-6,4,-8,Loss
2022caph,2022caph_qm12,blue,frc589,frc5012,frc1661,14,-71,6,-14,6,-13,0,0,Loss
2022caph,2022caph_qm12,red,frc8537,frc1836,frc1678,85,71,20,14,19,13,0,0,Win
2022caph,2022caph_qm13,blue,frc5817,frc5285,frc3128,19,-16,6,-14,6,6,0,-4,Loss
2022caph,2022caph_qm13,red,frc2659,frc972,frc2102,35,16,20,14,0,-6,4,4,Win
2022caph,2022caph_qm14,blue,frc5104,frc359,frc3501,86,42,16,6,40,34,4,4,Win
2022caph,2022caph_qm14,red,frc973,frc4817,frc687,44,-42,10,-6,6,-34,0,-4,Loss
2022caph,2022caph_qm15,blue,frc4501,frc6560,frc4414,103,79,32,26,15,11,4,0,Win
2022caph,2022caph_qm15,red,frc8537,frc8768,frc3374,24,-79,6,-26,4,-11,4,0,Loss
2022caph,2022caph_qm16,blue,frc8006,frc3759,frc5199,46,16,12,4,10,-11,0,0,Win
2022caph,2022caph_qm16,red,frc4711,frc2945,frc1836,30,-16,8,-4,21,11,0,0,Loss
